Speaker,Dialogue
Paul,"Ooh, steer clear of you."
Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
Ross,I'm divorced! I'm only 26 and I'm divorced!
Joey,Shut up!
Chandler,You must stop!
Ross,That only took me an hour.
Chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
Ross,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
Joey,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Ross,I honestly don't know if I'm hungry or horny.
Paul,"Ever since she walked out on me, I, uh..."
Monica,"What?..... What, you wanna spell it out with noodles?"
Paul,"No, it's, it's more of a fifth date kinda revelation."
Monica,"Oh, so there is gonna be a fifth date?"
Paul,Isn't there?
Monica,"Yeah... yeah, I think there is. -What were you gonna say?"
Paul,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually."
Monica,"Oh God, oh God, I am sorry... I am so sorry..."
Paul,It's okay...
Monica,I know being spit on is probably not what you need right now. Um... how long?
Paul,Two years.
Monica,Wow! I'm-I'm-I'm glad you smashed her watch!
Paul,"So you still think you, um... might want that fifth date?"
Monica,"...Yeah. Yeah, I do."
Rachel,Oh...see... but Joanne loved Chachi! That's the difference!
Ross,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
Joey,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
Chandler,"Angela's the screamer, Andrea has cats."
Joey,Right. Thanks. It's June. I'm outta here.
Ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? Commercial Break"
Rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
Chandler,That is amazing.
Joey,Congratulations.
Rachel,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
Chandler,"If can invade Poland, there isn't anything I can't do."
Joey,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
Monica,"Oh good, Lenny and Squigy are here."
Paul,Morning.
Joey,"Morning, Paul."
Rachel,"Hello, Paul."
Chandler,"Hi, Paul, is it?"
Paul,Thank you! Thank you so much!
Monica,Stop!
Paul,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
Monica,We'll talk later.
Paul,Yeah. Thank you.
Joey,That wasn't a real date?! What the hell do you do on a real date?
Monica,"Shut up, and put my table back."
Chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
Rachel,"So, like, you guys all have jobs?"
Monica,"Yeah, we all have jobs. See, that's how we buy stuff."
Joey,"Yeah, I'm an actor."
Rachel,Wow! Would I have seen you in anything?
Joey,I doubt it. Mostly regional work.
Monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
Joey,"Look, it was a job all right?"
Chandler,"'Look, Gippetto, I'm a real live boy.'"
Joey,I will not take this abuse.
Chandler,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
Joey,"You should both know, that he's a dead man. Oh, Chandler?"
Monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
Rachel,I can see that. You look like you slept with a hanger in your mouth.
Monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
Rachel,"Oh, yeah."
Monica,"Well, it's like that. With feelings."
Rachel,Oh wow. Are you in trouble.
Monica,Big time!
Rachel,Want a wedding dress? Hardly used.
Monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
Rachel,"Oh, look, wish me luck!"
Monica,What for?
Rachel,I'm gonna go get one of those job things.
Frannie,"Hey, Monica!"
Monica,"Hey Frannie, welcome back! How was Florida?"
Frannie,"You had sex, didn't you?"
Monica,How do you do that?
Frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
Monica,You know Paul?
Frannie,"Paul the Wine Guy? Oh yeah, I know Paul."
Monica,You mean you know Paul like I know Paul?
Frannie,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
Joey,Of course it was a line!
Monica,"Why?! Why? Why, why would anybody do something like that?"
Ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Monica,I hate men! I hate men!
Phoebe,"Oh no, don't hate, you don't want to put that out into the universe."
Monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
Phoebe,"All right, c'mere, gimme your feet."
Monica,"I just thought he was nice, y'know?"
Joey,I can't believe you didn't know it was a line!
Rachel,Guess what?
Ross,You got a job?
Rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
Chandler,And yet you're surprisingly upbeat.
Rachel,"You would be too if you found John and David boots on sale, fifty percent off!"
Chandler,"Oh, how well you know me..."
Rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
Monica,How'd you pay for them?
Rachel,"Uh, credit card."
Monica,And who pays for that?
Rachel,Um... my... father.
Rachel,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
Monica,"C'mon, you can't live off your parents your whole life."
Rachel,I know that. That's why I was getting married.
Phoebe,"Give her a break, it's hard being on your own for the first time."
Rachel,Thank you.
Phoebe,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
Ross,The word you're looking for is 'Anyway'...
Monica,"All right, you ready?"
Rachel,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
Monica,"You can, I know you can!"
Rachel,I don't think so.
Ross,"Come on, you made coffee! You can do anything!"
Ross,"C'mon, cut. Cut, cut, cut,..."
Rachel,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
Monica,Rachel! That was a library card!
Chandler,"Y'know, if you listen closely, you can hear a thousand retailers scream."
Monica,Welcome to the real world! It sucks. You're gonna love it!
Monica,"Well, that's it You gonna crash on the couch?"
Ross,"No. No, I gotta go home sometime."
Monica,You be okay?
Ross,Yeah.
Rachel,"Hey Mon, look what I just found on the floor. What?"
Monica,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody. Ross and Rachel: Goodnight."
Ross,"Mmm. Oh, no-"
Rachel,Sorry-
Ross,"No no no, go-"
Rachel,"No, you have it, really, I don't want it-"
Ross,Split it?
Rachel,Okay.
Ross,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
Rachel,I knew.
Ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
Rachel,I did.
Ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
Rachel,"Yeah, maybe..."
Ross,"Okay... okay, maybe I will..."
Rachel,Goodnight.
Ross,Goodnight.
Monica,"See ya.... Waitwait, what's with you?"
Ross,I just grabbed a spoon. Closing Credits
Joey,I can't believe what I'm hearing here.
Phoebe,I can't believe what I'm hearing here...
Monica,What? I-I said you had a-
Phoebe,What I said you had...
Monica,Would you stop?
Phoebe,"Oh, was I doing it again?"
Monica,"I said that you had a nice butt, it's just not a great butt."
Joey,"Oh, you wouldn't know a great butt if it came up and bit ya."
Ross,There's an image.
Rachel,Would anybody like more coffee?
Chandler,"Did you make it, or are you just serving it?"
Rachel,I'm just serving it.
Chandler,"Kids, new dream... I'm in Las Vegas."
Customer,"Ahh, miss? More coffee?"
Rachel,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
Chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
Ross,Guys? There's a somebody I'd like you to meet.
Monica,W-wait. What is that?
Ross,'That' would be Marcel. You wanna say hi?
Monica,"No, no, I don't."
Rachel,"Oh, he is precious! Where did you get him?"
Ross,My friend Bethel rescued him from some lab.
Phoebe,That is so cruel! Why? Why would a parent name their child Bethel?
Chandler,"Hey, that monkey's got a Ross on its ass!"
Monica,"Ross, is he gonna live with you, like, in your apartment?"
Ross,"Yeah. I mean, it's been kinda quiet since Carol left, so..."
Monica,Why don't you just get a roommate?
Ross,"Nah, I dunno... I think you reach a certain age, having a roommate is kinda pathe- ....sorry, that's, that's 'pathet', which is Sanskrit for 'really cool way to live'. Opening Credits"
Phoebe,"So you guys, I'm doing all new material tonight. I have twelve new songs about my mother's suicide, and one about a snowman."
Chandler,Might wanna open with the snowman.
Monica,"So, how'd it go?"
Joey,"Ahhhhhh, I didn't get the job."
Ross,How could you not get it? You were Santa last year.
Joey,"I dunno. Some fat guy's sleeping with the store manager. He's not even jolly, it's all political."
Monica,So what are you gonna be?
Joey,"Ah, I'm gonna be one of his helpers. It's just such a slap in the face, y'know?"
Rachel,"Hey, do you guys know what you're doing for New Year's? Gee, what?! What is wrong with New Year's?"
Chandler,"Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I'm talking loud!"
Rachel,"Well, for your information, Paolo is gonna be in Rome this New Year, so I'll be just as pathetic as the rest of you."
Phoebe,"Yeah, you wish!"
Chandler,"It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner."
Chandler,"Y'know, I was hoping for a little more enthusiasm."
Rachel,"Phoebe, you're on."
Phoebe,"Oh, oh, good."
Rachel,"Okay, hi. Ladies and gentlemen, back by popular demand, Miss Phoebe Buffay. Wooh!"
Phoebe,"Thanks, hi. Um, I wanna start with a song that means a lot to me this time of year. I made a man with eyes of coal And a smile so bewitchin', How was I supposed to know That my mom was dead in the kitchen? La lalala la la la la lalala la la..."
Phoebe,"...My mother's ashes Even her eyelashes Are resting in a little yellow jar, And sometimes when it's breezy..."
Phoebe,"...I feel a little sneezy And now I- Excuse me, excuse me! Yeah, noisy boys! Is it something that you would like to share with the entire group?"
Max,"No. No, that's- that's okay."
Phoebe,"Well, c'mon, if it's important enough to discuss while I'm playing, then I assume it's important enough for everyone else to hear!"
Chandler,That guy's going home with a note!
David,Noth- I was- I was just saying to my-
Phoebe,Could you speak up please?
David,"Sorry, I wa- I was just saying to my friend that I thought you were the most beautiful woman that I'd ever seen in my- in my life. And then he said that- you said you thought"
Max,Daryl Hannah.
David,"Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a"
Max,Hard quality.
David,"-hard quality. And uh, while Daryl Hannah is beautiful in a conventional way, you are luminous with a kind of a delicate grace. Then, uh, that-that-that's when you started yelling."
Phoebe,"Okay, we're gonna take a short break."
Joey,"Hey, that guy's going home with more than a note!"
Ross,"Come here, Marcel. Sit here."
Rachel,"Pheebs, I can't believe he hasn't kissed you yet. I mean God, by my sixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I just share too much?"
Ross,Just a smidge.
Phoebe,"David's like, y'know, Scientist Guy. He's very methodical."
Monica,I think it's romantic.
Phoebe,Me too! Oh! Did you ever see An Officer and a Gentleman?
Rachel,Yeah!
Phoebe,"Well, he's kinda like the guy I went to see that with. Except, except he-he's smarter, and gentler, and sweeter... I just- I just wanna be with him all the time. Day and night, and night and day... and special occasions..."
Chandler,"Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact."
Phoebe,"No, no, no, no, no, no. Yeah, could I just?"
Chandler,"Yeah, 'cause I already asked Janice."
Monica,What?!
Ross,"C'mon, this was a pact! This was your pact!"
Chandler,"I snapped, okay? I couldn't handle the pressure and I snapped."
Monica,"Yeah, but Janice? That-that was like the worst breakup in history!"
Chandler,"I'm not saying it was a good idea, I'm saying I snapped!"
Joey,"Hi. Hi, sorry I'm late."
Chandler,Too many jokes... must mock Joey!
Joey,"Nice shoes, huh?"
Chandler,"Aah, y'killing me!"
Monica,Ross! He's playing with my spatulas again!
Ross,"Okay, look, he's not gonna hurt them, right?"
Monica,Do you always have to bring him here?
Ross,"I didn't wanna leave him alone. Alright? We- we had our first fight this morning. I think it has to do with my working late. I said some things that I didn't mean, and he- he threw some faeces..."
Chandler,"Y'know, if you're gonna work late, I could look in on him for you."
Ross,"Oh, that'd be great! Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me."
Chandler,"Okay, but if he asks, I'm not going to lie."
David,"...But, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions."
Phoebe,"Okay, alright, I have a question, then."
David,Yuh.
Phoebe,"Um, were you planning on kissing me ever?"
David,"Uh, that's definitely a, uh, valid question. And, uh, the answer would be yes. Yes I was. But, see, I wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you."
Phoebe,Sure.
David,"Right. But, see, the longer I waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where I just like... sweep everything off the table and throw you down on it. And, uh, I'm not really a, uh, sweeping sorta fella."
Phoebe,"Oh, David, I, I think you are a sweeping sorta fella. I mean, you're a sweeper! ...trapped inside a physicist's body."
David,Rrrreally.
Phoebe,"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep and throw me."
David,...Now? Now?
Phoebe,"Oh yeah, right now."
David,"Okay, okay, okay. Y'know what, this was just really expensive. And I'll take- this was a gift."
Phoebe,"Okay, now you're just kinda tidying."
David,"Okay, what the hell, what the hell. You want me to actually throw you or you-you wanna just hop?"
Phoebe,I can hop.
Ross,So tell me something. What does the phrase 'no date pact' mean to you?
Monica,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody- I thought I'd ask Fun Bobby."
Chandler,Fun Bobby? Your ex-boyfriend Fun Bobby?
Monica,Yeah.
Joey,You know more than one Fun Bobby?
Chandler,I happen to know a Fun Bob.
Rachel,"Okay, here we go..."
Joey,"Ooh ooh ooh ooh, there's no room for milk!"
Rachel,There. Now there is.
Ross,"Okay, so on our no-date evening, three of you now have dates."
Joey,"Uh, four."
Ross,Four.
Rachel,Five.
Ross,Five.
Rachel,Sorry. Paolo's catching an earlier flight.
Joey,"Yeah, and I met this really hot single mom at the store. What's an elf to do?"
Ross,"Okay, so I'm gonna be the only one standing there alone when the ball drops?"
Rachel,"Oh, c'mon. We'll have, we'll have a big party, and no-one'll know who's with who."
Ross,"Hey, y'know, this is so not what I needed right now."
Monica,What's the matter?
Ross,"Oh, it's-it's Marcel. He keeps shutting me out, y'know? He's walking around all the time dragging his hands..."
Chandler,"That's so weird, I had such a blast with him the other night."
Ross,Really.
Chandler,"Yeah, we played, we watched TV.. that juggling thing is amazing."
Ross,"What, uh... what juggling thing?"
Chandler,With the balled-up socks? I figured you taught him that.
Ross,No.
Chandler,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon..."
Max,Phoebe. Hi.
Phoebe,"Oh, hi Max! Hey, do you know everybody?"
Max,No. Have you seen David?
Phoebe,"No, no, he hasn't been around."
Max,"Well, if you see him, tell him to pack his bags. We are going to Minsk."
Phoebe,Minsk?
Max,Minsk. It's in Russia.
Phoebe,I know where Minsk is.
Max,"We got the grant. Three years, all expenses paid."
Phoebe,"So when, when do you leave?"
Max,January first. Commercial Break
Phoebe,Hello?
David,Hey!
Phoebe,Hi.
David,Hi! What-what're you doing here?
Phoebe,"Um, well, Max told me about Minsk, so congratulations! This is so exciting!"
Max,It'd be even more exciting if we were going.
Phoebe,"Oh, you're not going? Oh, why?"
Max,"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!'"
David,"Thank you, Max. Thank you."
Phoebe,So-so you're really not going?
David,I don't know. I don't know what I'm gonna do. I just- you decide.
Phoebe,Oh don't do that.
David,Please.
Phoebe,Oh no no.
David,"No, but I'm asking-"
Phoebe,"Oh, but I can't do that-"
David,"No, but I can't-"
Phoebe,"It's your thing, and-"
David,-make the decision-
Phoebe,"Okay, um, stay."
David,Stay.
Phoebe,Stay.
Phoebe,Getting so good at that!
David,It was Max's stuff.
Janice,"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow!"
Chandler,You remember Janice.
Monica,Vividly.
Monica,Hi.
Sandy,"Hi, I'm Sandy."
Joey,Sandy! Hi! C'mon in! ...You brought your kids.
Sandy,"Yeah. That's okay, right?"
Ross,Par-tay!
Monica,That thing is not coming in here.
Ross,"'That thing'? This is how you greet guests at a party? Let me ask you something, if I showed up here with my new girlfriend, she wouldn't be welcome in your home?"
Monica,I'm guessing your new girlfriend wouldn't urinate on my coffee table.
Ross,Okay. He was more embarrassed about that than anyone. Okay? And for him to have the courage to walk back in here like nothing happened...
Monica,Alright. Just keep him away from me.
Ross,"Thank you. C'mon, Marcel, whaddya say you and I do a little mingling? Alright, I'll, uh... catch up with you later."
Monica,"Oh my gosh! Rachel, honey.. are you okay? Where-where's Paolo?"
Rachel,Rome. Jerk missed his flight.
Phoebe,And then... your face is bloated?
Rachel,"No. Okay. I was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yelling at me. Something about how it was her cab first. And then the next thing I know she just starts- starts pulling me out by my hair! So I'm blowing my attack whistle thingy and three more cabs show up, and as I'm going to get into a cab she tackles me. And I hit my head on the kerb and cut my lip on my whistle...oh...everybody having fun at the party? Are people eating my dip?"
Sandy,"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf."
Joey,"Wow, that's, uh, dirty."
Sandy,Yeah.
Joey,"Hey, kids..."
Ross,"Look at him. I'm not saying he has to spend the whole evening with me, but at least check in."
Janice,"There you are! Haaah, you got away from me!"
Chandler,But you found me!
Janice,"Here, Ross, take our picture. Smile! You're on Janice Camera!"
Chandler,Kill me. Kill me now.
Monica,"Hey everybody! It's Fun Bobby! Fun Bobby: Hey, sorry I'm late. But my, uh, grandfather, he- died about two hours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!"
Joey,"Hey Fun Bobby! Whoah! Who died? Fun Bobby: It's gonna be an open casket, y'know, so at least I'll- I get to see him again."
Janice,"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter."
Chandler,"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
Janice,"Oh, no. Oh, no."
Chandler,I'm sorry you misunderstood...
Janice,"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me."
Chandler,"Oh, will you give me the thing."
Phoebe,"Hi, Max!"
Max,Yoko. I've decided to go to Minsk without you.
David,Wow.
Max,It won't be the same- but it'll still be Minsk. Happy New Year.
Phoebe,Are you alright?
David,"Yeah, I'm fine, I'm fine."
Phoebe,You're going to Minsk.
David,"No, I'm... not going to Minsk."
Phoebe,"Oh, you are so going to Minsk. You belong in Minsk. You can't stay here just 'cause of me."
David,"Yes I can. Because if I go it means I have to break up with you, and I can't break up with you."
