value,source,target
2,Ezel,Ross
2,Matt,Monica
2,Rachel,gleba
2,Theodore,Tom
2,Leslie,Monica
2,Heckles,Rachel
2,Laurie,Rachel
2,Flench,Max
2,Geoffrey,Monica
2,Mira,Rachel
2,Ross,Russell
2,Mike,Theodore
2,Miller,Monica
2,Ross,Vicrum
2,Millners,Ross
2,Ross,Sting
2,Marce,Ross
2,Frankie,Joey
2,Ross,Steven
2,Ma,Ross
2,Ethan,Rachel
2,Fun,Monica
2,Ross,mom
2,Gary,Ross
2,Ludwins,Ross
2,Ross,the
2,Mark,Ross
2,Ross,Santa
2,Rostins,Woman
2,Love,Phoebe
2,Long,Rachel
2,Mike,Precious
2,Aaron,By
2,Sandy,Snufflebumps
2,Minnie,Ross
2,Ned,Ross
2,Heidi,Ross
2,Horton,Intercom
2,Max,Yamaguchi
2,Joey,Lorraine
2,Monican't,Phoebe
2,Monica,the
2,Joey,Tom
2,Monica,Woman
2,Joey,Tris
2,Phoebe,Randy
2,Joey,Vell
2,Joey,Vincent
2,Joey,Voice
2,Joey,Jordan
2,Phoebe,Roger
2,Phoebe,Sergei
2,Joey,Waltham
2,Mookurgee,Phoebe
2,Phoebe,Phyllis
2,Joey,Marge
2,Joey,Michelle
2,Oprah,Ross
2,Muriel,Ross
2,Joey,Olivia
2,Mummy,Teacher
2,P.S.,Rachel
2,Joey,Molly
2,Mouse,Ross
2,Phil,Robert
2,Papasifakis,Rachel
2,Patti,Ross
2,Paul,Phoebe
2,Paul,Rachel
2,Joey,Mark
2,Paul,Stevens
2,Phoebe,Sting
2,Jill,Phoebe
2,Jessy,Ross
2,Jabba,Ross
2,Monica,Paolo
2,Rachel,Susan
2,Kenny,Phoebe
2,Kim,Rachel
2,Kristin,Ross
2,Rachel,Treeger
2,Monana,Rachel
2,Monica,Santa
2,Oberman,Ross
2,Kyle,Phoebe
2,Hugsy,Rachel
2,Kyle,Ross
2,Hugh,Joey
2,Howe,Robert
2,Monica,Ralph
2,Rachel,Robert
2,Phoebe,Sven
2,John,Ross
2,John,Phoebe
2,Jenny,Monica
2,Jean-Claude,Rachel
2,Je,Phoebe
2,Jarvis,Woman
2,Phoebe,Thompson
2,Janine,Monica
2,Ju,Ross
2,Phoebe,Travis
2,Phoebe,Vicrum
2,Monica,Syl
2,Josh,Rachel
2,Josh-u-a,Rachel
2,Monica,Shannon
2,Intercom,Wong
2,Transcribed,Vanessa
2,Dillon,Monica
2,Angela,Chandler
2,Chandler,Scott
2,Don,Phoebe
2,Chandler,Simon
2,Archie,Chandler
2,Burke,Monica
2,Batman,Ross
2,Burke,Ross
2,By,Eric
2,Donny,Jack
2,By,Shana
2,Chandler,Steve
2,Donny,Jill
2,Donny,Joey
2,Candy,Phoebe
2,Bill,Monica
2,Ben,Carol
2,Donny,Monica
2,Donny,Voice
2,Chandler,Lambert
2,Chandler,Kristen
2,Chandler,Tedlock
2,Drake,Hope
2,Carlos,Rachel
2,Chandler,The
2,Carol,Chandler
2,Anastassakis,Rachel
2,Drew,Monica
2,Bob,Chandler
2,Arthur,Chandler
2,Dexter,Rachel
2,Amy,Joey
2,Barry,Monica
2,Chandler,Phil
2,Barry,Mindy
2,Bonnie,Phoebe
2,Barbra,Rachel
2,Barbara,Monica
2,Chandler,Robin
2,Dana,Ross
2,Chandler,Peanut
2,Danny,Monica
2,Bobby,Ross
2,Colonel,Monica
2,Dave,Monica
2,Chandler,Paolo
2,Chandler,Salty
2,Dewey,Robert
2,Colin,Emily
2,Chandler,Nina
2,Chandler,Mr.
2,Barry,Phoebe
2,Chandler,McKenna
2,David,Ross
2,Cody,Ross
2,Assistant,Mittens
2,Assistant,Jinkys
2,Dennis,Joey
2,Assistant,Fitzhugh
2,Devon,Emily
2,Chandler,Mark
2,Duck,Phoebe
2,Carl,Joey
2,Benjamin,Ross
2,Ernie,Phoebe
2,Chandler,Flan
2,Alice,Monica
2,Chandler,Gunther
2,Bitsy,Susan
2,Chandler,Charlie
2,Elizabeth,Paul
2,Bernice,Jason
2,Chi-Chi,Ross
2,Chandler,Gary
2,Alexandra,Chandler
2,Emil,Rachel
2,Alby,Ross
2,Celia,Ross
2,Eric,Heckles
2,Chandler,Flanen
2,Albino,Phoebe
2,Eric,Phoebe
2,Eric,Ursula
2,Bert,Phoebe
2,Bitsy,Jen
2,Chandler,Franklin
2,Erin,Rachel
2,Cheatum,Robert
2,Adrienne,Chandler
2,Best,Monica
2,Bitsy,Tom
2,Bitsy,Mike
2,Chandler,Doug
2,Chandler,nen
2,Chandler,James
2,Chip,Roy
2,Chandler,Theodore
2,Amanda,Monica
2,Chandler,Erica
2,Aaron,Joey
2,Alvin,Chandler
2,Chandler,Jack
2,Chandler,John
2,Amy,Chandler
2,Dylan,Ross
2,Cathy,Chandler
2,Cathy,Joey
2,Carol,Jordie
2,Eddie,Tilly
2,Chandler,Tom
2,Chick,Phoebe
2,Carol,Jamie
2,Eleonora,Transcribed
2,Chandler,Treeger
2,Chandler,Jay
1,Nora,Paolo
1,Phillips,Ross
1,Nirget,Phoebe
1,Nora,Rachel
1,Billy,Monica
1,Bonnie,Monica
1,Oberblau,Woman
1,Billy,Chandler
1,Old,Richard
1,Pablo,Rachel
1,Bobby,Joey
1,Pete,the
1,Blowfish,Phoebe
1,Nathan,Ross
1,Blinky,Monica
1,Bob,Franklin
1,Bob,Jade
1,Bob,Machine
1,Bob,Monica
1,Bob,Rachel
1,Pancho,Phoebe
1,Pamela,Rachel
1,Pam,Rachel
1,Bo,Rachel
1,Penella,Phoebe
1,Pesos,Phoebe
1,Bitsy,Phoebe
1,Pete,Ross
1,Bobby,Chandler
1,Bonnie,Ross
1,Ethan,Joey
1,Nancy,Woman
1,Monica,Remore
1,Monica,Photographer
1,Carol,Emily
1,Monica,Paulo
1,Carol,G.
1,Monica,Olivia
1,Carol,Mark
1,Carol,Phoebe
1,Casey,Ross
1,Mona,Rachel
1,Catwoman,Monica
1,Mona,Monica
1,Chachi,Rachel
1,Mom,Monica
1,Chandler,Chester
1,Chandler,Chrissy
1,Chandler,Christine
1,Chandler,Colleen
1,Chandler,Cop
1,Mischa,Phoebe
1,Miranda,Ross
1,Chandler,D
1,Chandler,Danielle
1,Minster,Ross
1,Chandler,Derrick
1,Chandler,Dick
1,Mindy,Phoebe
1,Chandler,Don
1,Chandler,Dorothy
1,Miller,Rachel
1,Monica,Regis
1,Carl,Chandler
1,Bookbinder,Chandler
1,Cappy,Rachel
1,Boring,Joey
1,Myron,Rachel
1,Boss,Phoebe
1,Boutros,Phoebe
1,Bowmont,Rachel
1,Moses,Rachel
1,Brady,Rachel
1,Brendy,Phoebe
1,Britney,Joey
1,Bruce,Monica
1,Bruiser,Joey
1,Monica,Zack
1,Monica,Young
1,Bubbles,Phoebe
1,Buddy,Chandler
1,Monica,Weinburg
1,Bunny,Joey
1,Monica,Underdog
1,Monica,Tony
1,Burgin,Rachel
1,Monica,The
1,Burkart,Monica
1,Monica,Sylvia
1,Burke,Richard
1,Monica,Supergirl
1,Monica,Squigy
1,Monica,Spackel
1,Cameron,Phoebe
1,Monica,Roy
1,Bill,Rachel
1,Phoebe,Tony
1,Phoebe,Ralph
1,Ross,Simon
1,Andrea,Joey
1,Rita,Ross
1,Robert,Ross
1,Robert,Steve
1,Robert,Stevens
1,Andrea,Chandler
1,Rona,Susan
1,Amy,Right
1,Amy,Myron
1,Amy,Chip
1,Ross,Ryan
1,Ross,Ryder
1,Amber,Rachel
1,Ross,Scotch
1,Amber,Joey
1,Rich,Richard
1,Rhonda,Ross
1,Andrea,Ross
1,Rachel,Yeti
1,Rachel,Wallis
1,Rachel,Will
1,Rachel,Wilson
1,Armadillo,Ben
1,Rachel,Woman
1,Rachel,Yasmine
1,Rachel,Zellner
1,Andrew,Teleplay
1,Anne,Janine
1,Rachel,a
1,Annabelle,Hombre
1,Rachel,marenge
1,Ann,Phoebe
1,Angelina,Joey
1,Ross,Silvia
1,Ross,Spafford
1,Rachel,WINEBURG
1,Amber,HORTON
1,Alan,Ross
1,Al,Estelle
1,Adrienne,Kate
1,Sergei,Touchet
1,Sergei,touchet
1,Adrian,Kate
1,Adelaide,Ross
1,Sherry,Teleplay
1,Adam,Ross
1,Adam,Rachel
1,Susan,Teacher
1,Adam,Phoebe
1,Susan,nonononono
1,Tag,Zelner
1,Ted,Teleplay
1,Albert,Ross
1,Russell,this
1,Ross,wovyou
1,Alicia,Joey
1,Altman,Will
1,Ross,Tanya
1,Ross,Teacher
1,Altman,Monica
1,Alors,Phoebe
1,Ross,Val
1,Ross,Wally
1,Alec,Ross
1,Ross,Wheeler
1,Ross,Will
1,Ross,Winston
1,Ross,Yangs
1,Alice,Leslie
1,Ross,draydl
1,Rachel,Walker
1,Atkins,Rachel
1,Bill,Chandler
1,Phoebe,the
1,Benjamin,Charlie
1,Phoebe,Tiger
1,Chandler,Douglas
1,Ben,Emily
1,Becky,Phoebe
1,Becker,Joey
1,Beatty,Joey
1,Bear,Phoebe
1,Phoebe,Voice
1,Phoebe,Whiffler
1,Phoebe,Whitney
1,Phoebe,Widow
1,Phoebe,Woman
1,Phoebe,X
1,Phoebe,kettle
1,Benjamin,Dr.
1,Phoebe,Tegrin
1,Benjamin,Shirelles
1,Bert,Joey
1,Phoebe,Regina
1,Betty,Rachel
1,Beth,Chandler
1,Phoebe,Rocky
1,Phoebe,Rod
1,Bert,Laura
1,Phoebe,Scientist
1,Phoebe,Superman
1,Bernoulli,David
1,Phoebe,Sophie
1,Phoebe,Soupy
1,Phoebe,Stella
1,Bernice,Bobby
1,Benji,Charlie
1,Phoebe,lui
1,Phyllis,Ross
1,Aurora,Chandler
1,Pincer,Rachel
1,Rachel,Sahara
1,Barbara,Chandler
1,Rachel,Sandy
1,Rachel,Sarah
1,Rachel,Schiff
1,Rachel,Scott
1,Rachel,Sean
1,Rachel,Shania
1,Rachel,Skippy
1,Bag,Mike
1,Rachel,Steve
1,BIG,Gunther
1,BIG,Chandler
1,B.,Phoebe
1,Avery,Radio
1,Rachel,Ruth
1,Rachel,Russell
1,Rachel,Rubella
1,Ra,Ross
1,Pinky,Ross
1,Pizza,Rachel
1,Produced,Robert
1,Produced,Wendy
1,REMORE,Rachel
1,RYAN,Ross
1,Barry,Joey
1,Rachel,Ronni
1,Barr,Rachel
1,Rachel,Red
1,Rachel,Richard
1,Barney,Joey
1,Rachel,Rodney
1,Rachel,Roger
1,Mike,Tom
1,Chandler,Hubba
1,Mike,Susan
1,Jasmine,Ross
1,Jail,Joey
1,James,Rachel
1,James,Ross
1,Jan-ice,Joey
1,Jane,Joey
1,Jane,Message
1,Janet,Rachel
1,David,Joey
1,Darling,Rachel
1,Danny,Tom
1,Daniel,Sandy
1,Janine,Joey
1,Janitor,Lipson
1,Jarred,Monica
1,DOUGLAS,Joey
1,Jacques,Phoebe
1,David,Newton
1,Davy,Phoebe
1,Hugo,Rachel
1,Ho,Pete
1,Donald,Phoebe
1,Howard,Phoebe
1,Don,Ross
1,Huey,Ross
1,Don,Rachel
1,Don,Monica
1,Deb,Susan
1,Ida,Rachel
1,Indiana,Rachel
1,Dino,Ross
1,J.C.,Woman
1,Jack,Joey
1,Delta,Monica
1,Jasmine,Phoebe
1,Jason,Phoebe
1,Donald,Ross
1,Jason,Rachel
1,Joanne,Rachel
1,Colleen,Phoebe
1,Colleen,Monica
1,Joey,Julie
1,Joey,Karen
1,Cobb,Julie
1,Joey,Katherine
1,Clunkers,Phoebe
1,Joey,Katie
1,Clinton,Robert
1,Joey,Kenny
1,Clint,Phoebe
1,Joey,Kurt
1,Clean,Ross
1,Cindy,Phoebe
1,Joanna,Sophie
1,Cookie,Phoebe
1,Jim,Richard
1,Curry,Monica
1,Jay,Rachel
1,Cute,Ross
1,Jean-Claude,Monica
1,Cute,Rachel
1,Cut,Joey
1,Customer,Todd
1,Crap,Mike
1,Jim,Phoebe
1,Jethro,Rachel
1,Jill,Joey
1,Crabtree,Rachel
1,Cop,Joey
1,Jill,Ross
1,Jim,Joey
1,Hillary,Monica
1,Donna,Phoebe
1,Joey,Lawrence
1,Gary,Phoebe
1,Frank,Joey
1,Frank,Knight
1,Emma-Wemma-Demma,Ross
1,Emma,Judy
1,Franzblau,Ross
1,Fredrickson,Ross
1,Friend,Richard
1,Friend,Ross
1,Ellen,Teleplay
1,Elizabeth,Monica
1,Elizabeth,Feesen
1,G.I.,Rachel
1,G.Stephanopoulos,Rachel
1,Gabe,Rachel
1,Garfunkle,Ross
1,Frank,Girl
1,Francesca,Joey
1,Fonzie,Rachel
1,Farber,Phoebe
1,Erwin,Phoebe
1,Eve,Phoebe
1,Evelyn,Joey
1,Evelyn,Phoebe
1,Evelyn,Rachel
1,Ernst,Ross
1,Ernie,Laura
1,Fonz,Phoebe
1,Faye,Monica
1,Ernie,Joey
1,Fledermaus,Rachel
1,Erin,Ray
1,Flintstones,Ross
1,Fluffy,Ross
1,Gary,Joey
1,Eldad,Monica
1,Heckles,Monica
1,Eddie,Joey
1,Draydl,Ross
1,Gunnersens,Monica
1,Gunther,Jen
1,Drake,Ross
1,Drake,Monica
1,Douglas,Joey
1,Guru,Ross
1,Doody,Joey
1,Hannigan,Phoebe
1,Hans,Ross
1,Donny,Leslie
1,Harrison,Joey
1,Hayley,Joey
1,Heathcliff,Rachel
1,Heckles,Joey
1,Drew,Rachel
1,Greely,Ross
1,Gottliebs,Ross
1,George,Phoebe
1,Gavin,Monica
1,Gee,Pete
1,Duncan,Ray
1,Gene,Kate
1,Gene,Voice
1,Dudley,Monica
1,George,Ross
1,Gonzalez,Joey
1,Gingeer,Joey
1,Dude,Joey
1,Gladys,Phoebe
1,Gladys,Rachel
1,Gleba,Rachel
1,Glynnis,Phoebe
1,Joey,Laurie
1,Joey,Leetch
1,Chandler,Drake
1,Lola,Phoebe
1,Leader,Sarah
1,Lee,Rachel
1,Leia,Ross
1,Lenny,Monica
1,Leroy,Richard
1,Chandler,Marcel
1,Chandler,Maitre
1,Levines,Ross
1,Chandler,Lisa
1,Liddy,Ross
1,Chandler,Laura
1,Chandler,LITTLE
1,Linda,Phoebe
1,Chandler,Kostelic
1,Chandler,Kinda
1,Leader,Ross
1,Chandler,Margha
1,Lauren,Woman
1,Kinda,Rachel
1,Kay,Rachel
1,Kenneth,Mike
1,Kenny,Rachel
1,Kim,Nancy
1,Chandler,Owen
1,Kim,Ross
1,Kreeger,Rachel
1,Laura,Monica
1,Kurt,Phoebe
1,Kurt,Ross
1,Chandler,Max
1,Larry,Monica
1,Larry,Phoebe
1,Lassie,Monica
1,Chandler,Ken
1,Chandler,Kate
1,Chandler,Pepponi
1,Long,Ross
1,Matthew,Monica
1,Matthew,Phoebe
1,Matthew,Rachel
1,Maureen,Monica
1,Chandler,Gandolf
1,McNeeley,Rachel
1,Mel,Phoebe
1,Mel,Ross
1,Melanie,Monica
1,Michael,Woman
1,Chandler,Fleischman
1,Michelle,Radio
1,Chandler,Ethan
1,Chandler,Eldad
1,Chandler,Du-du-I
1,Mary-Angela,Ross
1,Chandler,Gerston
1,Chandler,Goldman
1,Malcom,Phoebe
1,Lorkins,Phoebe
1,Chandler,Karen
1,Lowell,Phoebe
1,Luisa,Rachel
1,Chandler,Jerry
1,Chandler,Janine
1,Chandler,Ian
1,Chandler,Goralnik
1,Estl,Lori
1,Chandler,Horny
1,Chandler,Hootie
1,Chandler,Holland
1,Mario,Monica
1,Chandler,Helen
1,Kathy,Phoebe
1,Kate,Woman
1,Joey,Lennart
1,Chandler,Ursula
1,Joey,Nicole
1,Charlotte,Phoebe
1,Charles,Monica
1,Charles,Dina
1,Chandler,the
1,Joey,Phalange
1,Chandler,no
1,Joey,Ramone
1,Chandler,meeee
1,Chandler,Zack
1,Chandler,Woman
1,Chandler,Weird
1,Joey,Sam
1,Chandler,Vivian
1,Joey,Smartie
1,Cheers,Ross
1,Joey,Mustercard
1,Cher,Rachel
1,Chip,Steve
1,Joey,Leslie
1,Joey,Loreo
1,Cilantro,Phoebe
1,Christine,Joey
1,Chip,Zuchoff
1,Joey,Marcel
1,Joey,Margha
1,Chi,Ross
1,Joey,Martha
1,Joey,Meg
1,Joey,Message
1,Joey,Messier
1,Chick,Joey
1,Joey,Mindy
1,Joey,Sonia
1,Joey,Susan
1,Kate,Victor
1,Joey,Teddy
1,Chandler,Sal
1,Chandler,Ruben
1,Joshua,Waltham
1,Chandler,Ronni
1,Chandler,Robert
1,Chandler,Rick
1,Chandler,Reggie
1,Chandler,Photographer
1,Julie,Thomas
1,Julio,Monica
1,Julio,Ross
1,Kara,Monica
1,Kara,Robert
1,Kash,Rachel
1,Kat,Monica
1,Josh,Ross
1,Josephine,Ross
1,Chandler,Santa
1,Joey,Vasa
1,Joey,Terry
1,Joey,Tim
1,Joey,Tinker
1,Chandler,Toby
1,Joey,Trisc
1,Joey,Ursula
1,Chandler,Susan
1,Chandler,Santos
1,Chandler,Stevie
1,Chandler,Stephen
1,Joey,Woman
1,Joey,Wong
1,Chandler,Snoopy
1,Chandler,Sid
1,Ginger,Joey
