,Speaker,Dialogue
82,Ross,That'd be good...
83,Monica,Really?
84,Ross,"No, go on! It's Paul the Wine Guy!"
85,Phoebe,"What does that mean? Does he sell it, drink it, or just complain a lot?"
86,Monica,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
87,Chandler,"I'm sorry, I didn't catch your name. Paul, was it?"
88,Monica,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
89,Ross,A wandering?
90,Monica,"Change! Okay, sit down. Two seconds."
91,Phoebe,"Ooh, I just pulled out four eyelashes. That can't be good."
92,Joey,"Hey, Paul!"
93,Paul,Yeah?
94,Joey,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
95,Monica,"Shut up, Joey!"
96,Ross,"So Rachel, what're you, uh... what're you up to tonight?"
97,Rachel,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
98,Ross,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
99,Chandler,"Yes, and we're very excited about it."
100,Rachel,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
101,Ross,"Okay, sure."
102,Joey,"Hey Pheebs, you wanna help?"
103,Phoebe,"Oh, I wish I could, but I don't want to. Commercial Break"
104,Phoebe,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!"
105,Ross,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
106,Joey,I'm thinking we've got a bookcase here.
107,Chandler,It's a beautiful thing.
108,Joey,What's this?
109,Chandler,I would have to say that is an 'L'-shaped bracket.
110,Joey,Which goes where?
111,Chandler,I have no idea.
112,Joey,Done with the bookcase!
113,Chandler,All finished!
114,Ross,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
115,Joey,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
116,Chandler,"Yes, please don't spoil all this fun."
117,Joey,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
118,Ross,You guys.
119,Chandler,"Oh, God."
120,Joey,You got screwed.
121,Chandler,Oh my God!
122,Monica,Oh my God!
123,Paul,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
124,Monica,"My brother's going through that right now, he's such a mess. How did you get through it?"
125,Paul,"Well, you might try accidentally breaking something valuable of hers, say her-"
126,Monica,-leg?
127,Paul,"That's one way! Me, I- I went for the watch."
128,Monica,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
129,Paul,"Ooh, steer clear of you."
130,Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
131,Ross,I'm divorced! I'm only 26 and I'm divorced!
132,Joey,Shut up!
133,Chandler,You must stop!
134,Ross,That only took me an hour.
135,Chandler,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
136,Ross,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
137,Joey,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
138,Ross,I honestly don't know if I'm hungry or horny.
139,Paul,"Ever since she walked out on me, I, uh..."
140,Monica,"What?..... What, you wanna spell it out with noodles?"
141,Paul,"No, it's, it's more of a fifth date kinda revelation."
142,Monica,"Oh, so there is gonna be a fifth date?"
143,Paul,Isn't there?
144,Monica,"Yeah... yeah, I think there is. -What were you gonna say?"
145,Paul,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually."
146,Monica,"Oh God, oh God, I am sorry... I am so sorry..."
147,Paul,It's okay...
148,Monica,I know being spit on is probably not what you need right now. Um... how long?
149,Paul,Two years.
150,Monica,Wow! I'm-I'm-I'm glad you smashed her watch!
151,Paul,"So you still think you, um... might want that fifth date?"
152,Monica,"...Yeah. Yeah, I do."
153,Rachel,Oh...see... but Joanne loved Chachi! That's the difference!
154,Ross,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
155,Joey,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
156,Chandler,"Angela's the screamer, Andrea has cats."
157,Joey,Right. Thanks. It's June. I'm outta here.
158,Ross,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? Commercial Break"
159,Rachel,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
160,Chandler,That is amazing.
161,Joey,Congratulations.
162,Rachel,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
163,Chandler,"If can invade Poland, there isn't anything I can't do."
164,Joey,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
165,Monica,"Oh good, Lenny and Squigy are here."
166,Paul,Morning.
167,Joey,"Morning, Paul."
168,Rachel,"Hello, Paul."
169,Chandler,"Hi, Paul, is it?"
170,Paul,Thank you! Thank you so much!
171,Monica,Stop!
172,Paul,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
173,Monica,We'll talk later.
174,Paul,Yeah. Thank you.
175,Joey,That wasn't a real date?! What the hell do you do on a real date?
176,Monica,"Shut up, and put my table back."
177,Chandler,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
178,Rachel,"So, like, you guys all have jobs?"
179,Monica,"Yeah, we all have jobs. See, that's how we buy stuff."
180,Joey,"Yeah, I'm an actor."
181,Rachel,Wow! Would I have seen you in anything?
182,Joey,I doubt it. Mostly regional work.
183,Monica,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
184,Joey,"Look, it was a job all right?"
185,Chandler,"'Look, Gippetto, I'm a real live boy.'"
186,Joey,I will not take this abuse.
187,Chandler,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
188,Joey,"You should both know, that he's a dead man. Oh, Chandler?"
189,Monica,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
190,Rachel,I can see that. You look like you slept with a hanger in your mouth.
191,Monica,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
192,Rachel,"Oh, yeah."
193,Monica,"Well, it's like that. With feelings."
194,Rachel,Oh wow. Are you in trouble.
195,Monica,Big time!
196,Rachel,Want a wedding dress? Hardly used.
197,Monica,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
198,Rachel,"Oh, look, wish me luck!"
199,Monica,What for?
200,Rachel,I'm gonna go get one of those job things.
201,Frannie,"Hey, Monica!"
202,Monica,"Hey Frannie, welcome back! How was Florida?"
203,Frannie,"You had sex, didn't you?"
204,Monica,How do you do that?
205,Frannie,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?"
206,Monica,You know Paul?
207,Frannie,"Paul the Wine Guy? Oh yeah, I know Paul."
208,Monica,You mean you know Paul like I know Paul?
209,Frannie,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
210,Joey,Of course it was a line!
211,Monica,"Why?! Why? Why, why would anybody do something like that?"
212,Ross,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
213,Monica,I hate men! I hate men!
214,Phoebe,"Oh no, don't hate, you don't want to put that out into the universe."
215,Monica,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
216,Phoebe,"All right, c'mere, gimme your feet."
217,Monica,"I just thought he was nice, y'know?"
218,Joey,I can't believe you didn't know it was a line!
219,Rachel,Guess what?
220,Ross,You got a job?
221,Rachel,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
222,Chandler,And yet you're surprisingly upbeat.
223,Rachel,"You would be too if you found John and David boots on sale, fifty percent off!"
224,Chandler,"Oh, how well you know me..."
225,Rachel,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
226,Monica,How'd you pay for them?
227,Rachel,"Uh, credit card."
228,Monica,And who pays for that?
229,Rachel,Um... my... father.
230,Rachel,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
231,Monica,"C'mon, you can't live off your parents your whole life."
232,Rachel,I know that. That's why I was getting married.
233,Phoebe,"Give her a break, it's hard being on your own for the first time."
234,Rachel,Thank you.
235,Phoebe,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
236,Ross,The word you're looking for is 'Anyway'...
237,Monica,"All right, you ready?"
238,Rachel,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
239,Monica,"You can, I know you can!"
240,Rachel,I don't think so.
241,Ross,"Come on, you made coffee! You can do anything!"
242,Ross,"C'mon, cut. Cut, cut, cut,..."
243,Rachel,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
244,Monica,Rachel! That was a library card!
245,Chandler,"Y'know, if you listen closely, you can hear a thousand retailers scream."
246,Monica,Welcome to the real world! It sucks. You're gonna love it!
247,Monica,"Well, that's it You gonna crash on the couch?"
248,Ross,"No. No, I gotta go home sometime."
249,Monica,You be okay?
250,Ross,Yeah.
251,Rachel,"Hey Mon, look what I just found on the floor. What?"
252,Monica,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody. Ross and Rachel: Goodnight."
253,Ross,"Mmm. Oh, no-"
254,Rachel,Sorry-
255,Ross,"No no no, go-"
256,Rachel,"No, you have it, really, I don't want it-"
257,Ross,Split it?
258,Rachel,Okay.
259,Ross,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
260,Rachel,I knew.
261,Ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
262,Rachel,I did.
263,Ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
264,Rachel,"Yeah, maybe..."
265,Ross,"Okay... okay, maybe I will..."
266,Rachel,Goodnight.
267,Ross,Goodnight.
268,Monica,"See ya.... Waitwait, what's with you?"
269,Ross,I just grabbed a spoon. Closing Credits
270,Joey,I can't believe what I'm hearing here.
271,Phoebe,I can't believe what I'm hearing here...
272,Monica,What? I-I said you had a-
273,Phoebe,What I said you had...
274,Monica,Would you stop?
275,Phoebe,"Oh, was I doing it again?"
276,Monica,"I said that you had a nice butt, it's just not a great butt."
277,Joey,"Oh, you wouldn't know a great butt if it came up and bit ya."
278,Ross,There's an image.
279,Rachel,Would anybody like more coffee?
280,Chandler,"Did you make it, or are you just serving it?"
281,Rachel,I'm just serving it.
282,Chandler,"Kids, new dream... I'm in Las Vegas."
283,Customer,"Ahh, miss? More coffee?"
284,Rachel,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
285,Chandler,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
286,Ross,Guys? There's a somebody I'd like you to meet.
287,Monica,W-wait. What is that?
288,Ross,'That' would be Marcel. You wanna say hi?
289,Monica,"No, no, I don't."
290,Rachel,"Oh, he is precious! Where did you get him?"
291,Ross,My friend Bethel rescued him from some lab.
292,Phoebe,That is so cruel! Why? Why would a parent name their child Bethel?
293,Chandler,"Hey, that monkey's got a Ross on its ass!"
294,Monica,"Ross, is he gonna live with you, like, in your apartment?"
295,Ross,"Yeah. I mean, it's been kinda quiet since Carol left, so..."
296,Monica,Why don't you just get a roommate?
297,Ross,"Nah, I dunno... I think you reach a certain age, having a roommate is kinda pathe- ....sorry, that's, that's 'pathet', which is Sanskrit for 'really cool way to live'. Opening Credits"
298,Phoebe,"So you guys, I'm doing all new material tonight. I have twelve new songs about my mother's suicide, and one about a snowman."
299,Chandler,Might wanna open with the snowman.
300,Monica,"So, how'd it go?"
301,Joey,"Ahhhhhh, I didn't get the job."
302,Ross,How could you not get it? You were Santa last year.
303,Joey,"I dunno. Some fat guy's sleeping with the store manager. He's not even jolly, it's all political."
304,Monica,So what are you gonna be?
305,Joey,"Ah, I'm gonna be one of his helpers. It's just such a slap in the face, y'know?"
306,Rachel,"Hey, do you guys know what you're doing for New Year's? Gee, what?! What is wrong with New Year's?"
307,Chandler,"Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I'm talking loud!"
308,Rachel,"Well, for your information, Paolo is gonna be in Rome this New Year, so I'll be just as pathetic as the rest of you."
309,Phoebe,"Yeah, you wish!"
310,Chandler,"It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner."
311,Chandler,"Y'know, I was hoping for a little more enthusiasm."
312,Rachel,"Phoebe, you're on."
313,Phoebe,"Oh, oh, good."
314,Rachel,"Okay, hi. Ladies and gentlemen, back by popular demand, Miss Phoebe Buffay. Wooh!"
315,Phoebe,"Thanks, hi. Um, I wanna start with a song that means a lot to me this time of year. I made a man with eyes of coal And a smile so bewitchin', How was I supposed to know That my mom was dead in the kitchen? La lalala la la la la lalala la la..."
316,Phoebe,"...My mother's ashes Even her eyelashes Are resting in a little yellow jar, And sometimes when it's breezy..."
317,Phoebe,"...I feel a little sneezy And now I- Excuse me, excuse me! Yeah, noisy boys! Is it something that you would like to share with the entire group?"
318,Max,"No. No, that's- that's okay."
319,Phoebe,"Well, c'mon, if it's important enough to discuss while I'm playing, then I assume it's important enough for everyone else to hear!"
320,Chandler,That guy's going home with a note!
321,David,Noth- I was- I was just saying to my-
322,Phoebe,Could you speak up please?
323,David,"Sorry, I wa- I was just saying to my friend that I thought you were the most beautiful woman that I'd ever seen in my- in my life. And then he said that- you said you thought"
324,Max,Daryl Hannah.
325,David,"Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a"
326,Max,Hard quality.
327,David,"-hard quality. And uh, while Daryl Hannah is beautiful in a conventional way, you are luminous with a kind of a delicate grace. Then, uh, that-that-that's when you started yelling."
328,Phoebe,"Okay, we're gonna take a short break."
329,Joey,"Hey, that guy's going home with more than a note!"
330,Ross,"Come here, Marcel. Sit here."
331,Rachel,"Pheebs, I can't believe he hasn't kissed you yet. I mean God, by my sixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I just share too much?"
332,Ross,Just a smidge.
333,Phoebe,"David's like, y'know, Scientist Guy. He's very methodical."
334,Monica,I think it's romantic.
335,Phoebe,Me too! Oh! Did you ever see An Officer and a Gentleman?
336,Rachel,Yeah!
337,Phoebe,"Well, he's kinda like the guy I went to see that with. Except, except he-he's smarter, and gentler, and sweeter... I just- I just wanna be with him all the time. Day and night, and night and day... and special occasions..."
338,Chandler,"Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact."
339,Phoebe,"No, no, no, no, no, no. Yeah, could I just?"
340,Chandler,"Yeah, 'cause I already asked Janice."
341,Monica,What?!
342,Ross,"C'mon, this was a pact! This was your pact!"
343,Chandler,"I snapped, okay? I couldn't handle the pressure and I snapped."
344,Monica,"Yeah, but Janice? That-that was like the worst breakup in history!"
345,Chandler,"I'm not saying it was a good idea, I'm saying I snapped!"
346,Joey,"Hi. Hi, sorry I'm late."
347,Chandler,Too many jokes... must mock Joey!
348,Joey,"Nice shoes, huh?"
349,Chandler,"Aah, y'killing me!"
350,Monica,Ross! He's playing with my spatulas again!
351,Ross,"Okay, look, he's not gonna hurt them, right?"
352,Monica,Do you always have to bring him here?
353,Ross,"I didn't wanna leave him alone. Alright? We- we had our first fight this morning. I think it has to do with my working late. I said some things that I didn't mean, and he- he threw some faeces..."
354,Chandler,"Y'know, if you're gonna work late, I could look in on him for you."
355,Ross,"Oh, that'd be great! Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me."
356,Chandler,"Okay, but if he asks, I'm not going to lie."
357,David,"...But, you can't actually test this theory, because today's particle accelerators are nowhere near powerful enough to simulate these conditions."
358,Phoebe,"Okay, alright, I have a question, then."
359,David,Yuh.
360,Phoebe,"Um, were you planning on kissing me ever?"
361,David,"Uh, that's definitely a, uh, valid question. And, uh, the answer would be yes. Yes I was. But, see, I wanted it to be this phenomenal kiss that happened at this phenomenal moment, because, well, 'cause it's you."
362,Phoebe,Sure.
363,David,"Right. But, see, the longer I waited, the more phenomenal the kiss had to be, and now we've reached a place where it's just gotta be one of those things where I just like... sweep everything off the table and throw you down on it. And, uh, I'm not really a, uh, sweeping sorta fella."
364,Phoebe,"Oh, David, I, I think you are a sweeping sorta fella. I mean, you're a sweeper! ...trapped inside a physicist's body."
365,David,Rrrreally.
366,Phoebe,"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep and throw me."
367,David,...Now? Now?
368,Phoebe,"Oh yeah, right now."
369,David,"Okay, okay, okay. Y'know what, this was just really expensive. And I'll take- this was a gift."
370,Phoebe,"Okay, now you're just kinda tidying."
371,David,"Okay, what the hell, what the hell. You want me to actually throw you or you-you wanna just hop?"
372,Phoebe,I can hop.
373,Ross,So tell me something. What does the phrase 'no date pact' mean to you?
374,Monica,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody- I thought I'd ask Fun Bobby."
375,Chandler,Fun Bobby? Your ex-boyfriend Fun Bobby?
376,Monica,Yeah.
377,Joey,You know more than one Fun Bobby?
378,Chandler,I happen to know a Fun Bob.
379,Rachel,"Okay, here we go..."
380,Joey,"Ooh ooh ooh ooh, there's no room for milk!"
381,Rachel,There. Now there is.
382,Ross,"Okay, so on our no-date evening, three of you now have dates."
383,Joey,"Uh, four."
384,Ross,Four.
385,Rachel,Five.
386,Ross,Five.
387,Rachel,Sorry. Paolo's catching an earlier flight.
388,Joey,"Yeah, and I met this really hot single mom at the store. What's an elf to do?"
389,Ross,"Okay, so I'm gonna be the only one standing there alone when the ball drops?"
390,Rachel,"Oh, c'mon. We'll have, we'll have a big party, and no-one'll know who's with who."
391,Ross,"Hey, y'know, this is so not what I needed right now."
392,Monica,What's the matter?
393,Ross,"Oh, it's-it's Marcel. He keeps shutting me out, y'know? He's walking around all the time dragging his hands..."
394,Chandler,"That's so weird, I had such a blast with him the other night."
395,Ross,Really.
396,Chandler,"Yeah, we played, we watched TV.. that juggling thing is amazing."
397,Ross,"What, uh... what juggling thing?"
398,Chandler,With the balled-up socks? I figured you taught him that.
399,Ross,No.
400,Chandler,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon..."
401,Max,Phoebe. Hi.
402,Phoebe,"Oh, hi Max! Hey, do you know everybody?"
403,Max,No. Have you seen David?
404,Phoebe,"No, no, he hasn't been around."
405,Max,"Well, if you see him, tell him to pack his bags. We are going to Minsk."
406,Phoebe,Minsk?
407,Max,Minsk. It's in Russia.
408,Phoebe,I know where Minsk is.
409,Max,"We got the grant. Three years, all expenses paid."
410,Phoebe,"So when, when do you leave?"
411,Max,January first. Commercial Break
412,Phoebe,Hello?
413,David,Hey!
414,Phoebe,Hi.
415,David,Hi! What-what're you doing here?
416,Phoebe,"Um, well, Max told me about Minsk, so congratulations! This is so exciting!"
417,Max,It'd be even more exciting if we were going.
418,Phoebe,"Oh, you're not going? Oh, why?"
419,Max,"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!'"
420,David,"Thank you, Max. Thank you."
421,Phoebe,So-so you're really not going?
422,David,I don't know. I don't know what I'm gonna do. I just- you decide.
423,Phoebe,Oh don't do that.
424,David,Please.
425,Phoebe,Oh no no.
426,David,"No, but I'm asking-"
427,Phoebe,"Oh, but I can't do that-"
428,David,"No, but I can't-"
429,Phoebe,"It's your thing, and-"
430,David,-make the decision-
431,Phoebe,"Okay, um, stay."
432,David,Stay.
433,Phoebe,Stay.
434,Phoebe,Getting so good at that!
435,David,It was Max's stuff.
436,Janice,"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow!"
437,Chandler,You remember Janice.
438,Monica,Vividly.
439,Monica,Hi.
440,Sandy,"Hi, I'm Sandy."
441,Joey,Sandy! Hi! C'mon in! ...You brought your kids.
442,Sandy,"Yeah. That's okay, right?"
443,Ross,Par-tay!
444,Monica,That thing is not coming in here.
445,Ross,"'That thing'? This is how you greet guests at a party? Let me ask you something, if I showed up here with my new girlfriend, she wouldn't be welcome in your home?"
446,Monica,I'm guessing your new girlfriend wouldn't urinate on my coffee table.
447,Ross,Okay. He was more embarrassed about that than anyone. Okay? And for him to have the courage to walk back in here like nothing happened...
448,Monica,Alright. Just keep him away from me.
449,Ross,"Thank you. C'mon, Marcel, whaddya say you and I do a little mingling? Alright, I'll, uh... catch up with you later."
450,Monica,"Oh my gosh! Rachel, honey.. are you okay? Where-where's Paolo?"
451,Rachel,Rome. Jerk missed his flight.
452,Phoebe,And then... your face is bloated?
453,Rachel,"No. Okay. I was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yelling at me. Something about how it was her cab first. And then the next thing I know she just starts- starts pulling me out by my hair! So I'm blowing my attack whistle thingy and three more cabs show up, and as I'm going to get into a cab she tackles me. And I hit my head on the kerb and cut my lip on my whistle...oh...everybody having fun at the party? Are people eating my dip?"
